appid,genres
1018800,
1018610,
1018850,Adventure;Casual;Indie
1018830,Indie;Strategy
1018930,Adventure;Free To Play;Simulation
1019020,Adventure
1019310,Adventure;Indie
1019450,Simulation
1019550,Action;Indie;Simulation
10195,Action
1019580,Adventure
1019630,Casual;Indie;RPG;Simulation;Sports;Strategy
1019940,Indie;Massively Multiplayer;Racing;Simulation
1020050,Adventure;Indie
1020270,Adventure;Casual
1020330,Casual;Indie;Strategy
1020340,Action;Indie
1020540,Action
1020470,Action;Adventure;Casual;Indie;RPG
1020600,Casual;Indie;Racing;Simulation;Sports
1020660,Racing;Simulation
1020800,Indie;Racing;Simulation;Early Access
1020780,Action;Adventure;Free To Play;Indie;Massively Multiplayer;RPG
1020820,Animation & Modeling;Design & Illustration;Web Publishing
1021070,Adventure;Indie;RPG;Strategy
1021210,Action;Indie;RPG;Strategy
1021100,Action;Indie;Strategy
1021770,Action;Indie
1021690,Casual;Indie;Simulation;Strategy
1021780,Action;Adventure;Indie;Massively Multiplayer;Simulation;Early Access
1021820,Casual;Indie;Simulation
1021850,Adventure;Indie;RPG
1021950,Adventure;Free To Play;Indie
10220,Action
102200,Adventure;Indie;RPG
1022310,Casual;Strategy
1022450,Indie;Massively Multiplayer;Strategy;Free To Play;Early Access
1022640,Casual;Indie;RPG
1022780,Action;Adventure;Indie;Massively Multiplayer;Simulation;Strategy
1022980,Indie;RPG;Simulation;Early Access
1023040,Indie;Simulation;Sports
1023370,Casual;Simulation
1023700,Adventure
1023740,Action;Casual;Indie
1023870,Action;Adventure;Indie
1023970,Action
1023980,Action;Adventure;RPG;Early Access
1024010,Casual;Indie;Simulation;Sports
1024380,Action;Early Access
1024400,Adventure;Casual;RPG;Strategy
1024480,Action;RPG;Strategy
1024650,Simulation;Strategy
1024800,Free To Play;Indie
1024890,Action;Free To Play;Indie;Strategy;Early Access
102500,Action;RPG
1025070,Adventure;Casual
1025140,Adventure;Casual;Simulation
1025240,Action;Casual;Indie;Strategy
1025250,Action;Indie
1025410,Action;Adventure;Indie
1025440,Strategy
1025600,Action;Strategy
1025960,Adventure;Casual
102600,Action;Indie;Strategy
1026070,Adventure;Strategy
1026080,Adventure;Indie
1026110,Free To Play;Racing;Simulation;Early Access
1026160,Adventure
1026400,Indie
1026420,Indie;RPG;Free To Play
1026680,Adventure;RPG
1026820,Casual;Indie;Free To Play
1026840,Action;Free To Play;Indie;Early Access
10270,RPG;Strategy
1027190,Indie;Simulation;Sports
1027530,Action;Adventure;Indie
1027620,Indie;Simulation
1027820,Action;Adventure;Indie;Massively Multiplayer;Simulation
1028130,Action;Indie
102700,
1028310,Indie;RPG;Simulation
1028350,Action;Casual;Indie
102840,Action;Adventure;Indie
1028440,Adventure;Casual;Indie
1028470,Free To Play
102820,
1028500,Action;Adventure
1028520,Adventure;RPG
1028570,Indie
1028630,Sports
1028800,Action;Adventure;Casual;Indie;RPG;Simulation;Early Access
1029240,Action;Adventure;Simulation
1029210,Action;Indie
1029470,Action;Indie;Strategy
1029500,Free To Play;Indie;Strategy
1029550,Racing
1029630,Simulation;Strategy
1029690,Action;Adventure
1029780,Indie;RPG;Simulation;Strategy;Early Access
1029860,Casual
1029890,Adventure;Casual;Indie
1030060,Action;Adventure;Indie;RPG
1030210,Action;Adventure;RPG
1030310,Adventure;RPG;Strategy
1030490,Adventure;Casual;Indie;RPG;Simulation
1030530,Action;Casual;Indie;Strategy
1030830,Action;Adventure
1030840,Action;Adventure
1031020,Adventure;Indie
1031110,Adventure;Casual;Indie;RPG;Free To Play
1031120,Casual;Indie;Simulation
1031140,Adventure;Strategy;Free To Play
1031270,Adventure;Casual;Indie;Simulation
1031330,Adventure;Indie;Strategy;Early Access
1031460,Action;Adventure;Indie;Simulation
1031480,Indie
1031500,
1031510,
1031570,Casual;Indie
1031590,Action;Casual;Indie;Strategy
1031640,Casual;Indie
1031800,Adventure;Indie;RPG
1031920,Simulation
1031900,Casual
1032170,Indie;Simulation
1032210,Action;Indie
1032430,Action;Early Access
1032520,Casual;Free To Play;Indie
1032590,Action;Adventure;Indie;RPG
1032670,Adventure
1032700,Simulation
1032730,Action;Adventure;Casual;Indie
1032790,Indie;Strategy
1033120,Adventure;Simulation
1033170,Indie;RPG;Strategy
1033220,Adventure;Simulation;Strategy
1033420,Action;Casual;Simulation
1033450,Action;Adventure;Casual;Indie;RPG;Strategy
1033640,Action
1033880,Action;Casual;Indie
1033950,Action;Adventure;Indie
1034060,Action;Adventure;Indie
1034140,Action;Adventure;Casual;RPG;Strategy
1034160,Casual;Indie;Racing;Simulation;Sports
1034250,Casual
1034270,Casual
1034280,Action;Adventure;Casual;Indie;Strategy
1034370,Action;Adventure;Casual;RPG;Strategy
1034700,Action;Adventure;Casual;Indie
1034750,Adventure;Indie
1034860,Adventure;RPG
1034880,Casual;Indie
1034890,Action;Adventure;Indie
1034900,Action
1035120,Action;Adventure;Indie
1035340,Education
1035510,Action;Adventure;Casual;Strategy
1035560,Action;Adventure;Casual;Indie
1035610,Action;Casual;Indie;RPG;Simulation
1035760,Action;Adventure;Casual;Indie;RPG;Early Access
1035770,Casual;Indie
1035860,Action;Casual;Indie
1035920,Adventure;Casual;Indie;Simulation;Strategy
1035930,Casual;Indie
1035990,Casual;Indie
1036000,Action;Adventure;Casual
1036240,Simulation;Strategy
1036440,Indie;Simulation;Strategy
1036700,Action;Adventure;Indie
1036740,Action;Indie;RPG
1036850,Adventure;Free To Play;Indie
1036890,Action;Adventure
1036910,Casual
1036960,Adventure;Free To Play;RPG
1036950,Casual;Indie;Strategy;Free To Play
1036970,Casual
1036980,Adventure;Casual
1037020,Action;Adventure;Indie
1037130,Action;Indie
1037190,Action;Casual;Indie;Sports
1037560,Indie;Simulation;Sports
1037590,Action
1037750,Action;Indie;RPG
1037840,Action;Casual;Indie
1037910,Action;Adventure;Indie
1038250,Action;Adventure;Casual;Racing;Sports
1038370,Indie;RPG;Strategy
1038280,Adventure;Casual;Indie
1038740,Adventure;Casual;Indie;RPG
1038450,Adventure
1038810,Adventure;RPG;Simulation
1038820,Adventure;Indie;RPG
1039040,Action;Adventure;Casual;Indie
1039080,Adventure;Casual;Indie;Early Access
1039100,Action;Adventure;Indie;RPG
1039200,Action;Casual;Indie
1039830,Adventure;Indie
1039880,Action;RPG
1039890,Action
1039940,Adventure
104000,Indie;Strategy
1040070,Indie;RPG;Simulation;Strategy
1040230,
1040420,
1040550,
1040730,
1040910,Action;Adventure;Casual;Indie
1041400,Action;Indie
1041670,Casual;Indie;Simulation
1041710,Casual;Massively Multiplayer;Simulation;Strategy
1041720,Action;RPG
1041840,Action;Simulation
1041920,Casual;Indie
104200,Adventure;Indie
1042020,Indie;RPG
1041320,Massively Multiplayer;RPG;Strategy;Free To Play
1042170,Action;Adventure;Casual;Indie;RPG
1042380,Indie;Simulation;Strategy
1042490,Adventure;Casual;Indie
1042550,RPG
1042670,Indie;RPG
1042780,Action;Adventure;Indie;RPG;Simulation
1042800,Action;Adventure;Indie;RPG
1042920,Action;Adventure;Indie;RPG
1043180,Casual;Indie;Simulation
1043150,Action;Indie
1043230,Action;Indie
1043240,Action;Indie
1043260,Indie;Simulation;Strategy
1043340,Action;Adventure;Indie;RPG;Simulation;Early Access
1043350,Adventure;Indie
1043390,Casual;Indie;Simulation
1043500,Casual;Indie;Simulation
1044040,Adventure;Indie;Simulation;Strategy
1044170,Action;Casual;Indie
1044410,Action;Adventure;Indie;RPG;Early Access
1044450,Casual;Indie
1044490,Adventure;Indie
1044500,Animation & Modeling;Design & Illustration;Utilities
1044620,Adventure;Casual
1044640,Action;Casual;Indie;Strategy
1044720,Indie;Simulation;Strategy;Early Access
1044870,Action;Adventure;Casual;Indie;Massively Multiplayer;Simulation;Early Access
1044980,Casual;Simulation
1045180,Action;Adventure;Indie;RPG
1045340,Casual;Indie;Sports
1045350,Casual;Indie;Sports
1045510,Adventure;Casual;Indie;Simulation
1045520,Indie
1045580,Action;Casual;Indie
1045610,Casual;Indie;Simulation;Strategy
1045620,RPG
1045720,Action;Adventure;Indie
1045840,Action;Adventure;Indie
10460,Action
104600,
1046030,Casual;Indie;Strategy
1046240,Action;Adventure;Indie;Simulation
1046470,Action;Adventure;Free To Play;Indie
1046600,Casual;RPG;Strategy
1046790,Adventure;Indie
1046820,Indie
1046930,Casual;Strategy;Free To Play
1046980,Action
1046480,
1047010,Adventure;Casual;Indie;RPG;Simulation
1047220,Adventure;Casual;Indie
1047440,Simulation
1047810,Action;Adventure;Casual;Indie;RPG
1048000,Adventure;Indie;RPG
104700,
1048100,Action;Adventure;Casual;Indie;Massively Multiplayer;RPG;Simulation
1048270,Casual;Indie
1048350,Action;Adventure;Indie;RPG
1048370,Casual;Indie;Simulation;Free To Play
1048540,Action;Adventure;Casual;Racing
1048660,Action
1048830,Action;Adventure;Casual;Free To Play;Massively Multiplayer;Racing;RPG;Simulation
104900,Action;Adventure;Indie;RPG
1048920,Adventure;Casual;Indie
1049100,Adventure;Casual;Indie
1049130,Action;Strategy;Game Development;Early Access
1049230,Adventure;Indie
1049280,Adventure;Casual;Indie
1049320,Action
1049400,Indie
1049410,Action;Adventure
1049590,Indie;Strategy;Free To Play
1049660,Action;Adventure;Free To Play;Indie;Massively Multiplayer;RPG
1049800,Action;Indie;Massively Multiplayer;Free To Play
